Project,Classification,Tech stack,Live Vercel URL,HTTP now,Modernization / consumer-psychology notes
3d-react-web,Create React App,"React, Three.js",https://3d-react-web.vercel.app,200,"Move from CRA to Vite/Next, shrink bundle, refresh dependencies"
addictive-mobile-games,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://addictive-mobile-games.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
algos,Legacy scripts/archive or docs,Legacy files/scripts,https://algos-beta.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
api.requests,Legacy scripts/archive or docs,Legacy files/scripts,https://api-requests-one.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
card-intel-scanner,Vite/React app,"React, Vite, Vite React, TypeScript, Tesseract OCR",https://card-intel-scanner.vercel.app,200,"Audit dependencies, add smoke tests, improve mobile UX hierarchy and empty states"
cellphone_scripts,Legacy scripts/archive or docs,Static Vercel review shell / product plan,https://cellphonescripts.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
CloudAutomation,Legacy scripts/archive or docs,Legacy files/scripts,https://cloudautomation.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
coding-school-platform,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://coding-school-platform.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
Codology,Node/Express app/API,"Express, Sequelize, MySQL",https://codology-three.vercel.app,200,"Audit dependencies, add smoke tests, improve mobile UX hierarchy and empty states"
CombatAtlas,React/Vite martial arts drill atlas,"React, Vite, local seeded database, optional Wikipedia/Wikidata/Kaggle import hooks",https://combatatlas-flame.vercel.app,200,"Complete live drill atlas: 22 martial arts, 882 searchable drills, exploration by art/category, safety/contact/equipment filters, no-key API-ready enrichers. Next: add licensed media and optional Kaggle/BJJ imports when keys/license review are ready."
consumer-advocate-app,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://consumer-advocate-app.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
cox-elementary-pta,Django app/API,Django,https://cox-elementary-pta.vercel.app,200,"Add production settings, health checks, hosted DB/env separation"
deployment_docs,Legacy scripts/archive or docs,Legacy files/scripts,https://deploymentdocs.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
docs,Legacy scripts/archive or docs,Legacy files/scripts,https://docs-umber-two-76.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
honda-tech-upgrade,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://honda-tech-upgrade.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
journal-ai,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://journal-ai-sooty.vercel.app,200,"Add production settings, health checks, hosted DB/env separation; Convert shell into focused MVP with one high-friction user outcome; Privacy-first onboarding, gentle prompts, local/demo mode before accounts"
Jupyter.Notebooks,Legacy scripts/archive or docs,Legacy files/scripts,https://jupyter-notebooks-green.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
legacy-src,Legacy scripts/archive or docs,Legacy files/scripts,https://legacy-src.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
local-meeting-transcriber,Legacy scripts/archive or docs,Legacy files/scripts,https://local-meeting-transcriber.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
muscleMadness,Expo/React Native web,"React, Expo, React Native",https://musclemadness-theta.vercel.app,200,"Upgrade Expo SDK, verify web export, simplify mobile-first flows"
muscleMadness_API,Django app/API,Django,https://musclemadness-api.vercel.app,200,"Add production settings, health checks, hosted DB/env separation"
music,Legacy scripts/archive or docs,Legacy files/scripts,https://music-lac-seven.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
music-mood-app,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://music-mood-app-chi.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
MusicAI,Node app,"Flask, IBM Watson",https://musicai-rouge.vercel.app,200,"Harden OAuth callbacks, add public health/demo mode, durable token storage; Privacy-first onboarding, gentle prompts, local/demo mode before accounts"
networking,Legacy scripts/archive or docs,Legacy files/scripts,https://networking-ebon.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
oyama-productions-legal,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://oyama-productions-legal.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
policy-pit-app,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://policy-pit-app.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
portfolio-sentiment-subscription-app,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://portfolio-sentiment-subscription-ap.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
robinhood-email-reports,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://robinhood-email-reports.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
RTS-JS-ChatRooms,Python/Flask/scripts,Flask,https://rts-js-chatrooms.vercel.app,200,"Harden OAuth callbacks, add public health/demo mode, durable token storage; Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits"
school,Legacy scripts/archive or docs,Legacy files/scripts,https://school-plum-beta.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
scraper-project,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://scraper-project-five.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
selenium,Legacy scripts/archive or docs,Legacy files/scripts,https://selenium-alpha.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
sleep-dream-app,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://sleep-dream-app.vercel.app,200,"Convert shell into focused MVP with one high-friction user outcome; Privacy-first onboarding, gentle prompts, local/demo mode before accounts"
social-media-analysis,Personal presence intelligence app,"Social OAuth/imports, uploaded exports, NLP, sentiment/mood/topic analysis",https://social-media-analysis-five.vercel.app,200,"Primary merged app: connect accounts or upload data exports, then show topics, mood, sentiment, communication style, and safe reflective insights."
stockNews,Legacy scripts/archive or docs,Legacy files/scripts,https://stocknews-sentiment.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
store-code-content-studio,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://store-code-content-studio.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
survey-analytics-website,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://survey-analytics-website.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
ticVoter,Expo/React Native web,"React, Expo, React Native, Firebase",https://ticvoter.vercel.app,200,"Upgrade Expo SDK, verify web export, simplify mobile-first flows"
ticVoter_REST.api,Django app/API,Django,https://ticvoter-rest-api.vercel.app,200,"Add production settings, health checks, hosted DB/env separation"
tiktok-clone,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://tiktok-clone-eta-one.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
tiktok-shop-shopify-commerce,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://tiktok-shop-shopify-commerce.vercel.app,200,"Convert shell into focused MVP with one high-friction user outcome; Reduce purchase friction, trust badges, clear value prop, checkout integration later"
tournament-wager-app,Plan/spec folder with static review shell,Static Vercel review shell / product plan,https://tournament-wager-app.vercel.app,200,Convert shell into focused MVP with one high-friction user outcome
tutoring.Repl,Legacy scripts/archive or docs,Legacy files/scripts,https://tutoring-repl.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
tweet_video_generator,Legacy scripts/archive or docs,Static Vercel review shell / product plan,https://tweetvideogenerator.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
tweetBetweenTheLines,Merge source/archive,Django/Tweepy Twitter analysis scripts,https://tweetbetweenthelines.vercel.app,200,"Merge into social-media-analysis as Twitter/X parser, historical text analysis, topic trend, and mood/sentiment source modules."
twitter-therapy-app,Merge source/archive,Static shell plus Twitter reflection concepts,https://twitter-therapy-app.vercel.app,200,Merge into social-media-analysis as reflective/mental-health-adjacent interpretation layer with non-diagnostic safety language.
utilityScripts,Legacy scripts/archive or docs,Legacy files/scripts,https://utilityscripts.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
watsonAI,Legacy scripts/archive or docs,Static Vercel review shell / product plan,https://watsonai.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
WebCrawl,Legacy scripts/archive or docs,Static Vercel review shell / product plan,https://webcrawl-ochre.vercel.app,200,Wrap reusable scripts in a guided web UI/API; isolate credentials and rate limits
wutHappened,Portfolio-aware news intelligence,"Python scripts, News API/web scraping, generated scripts/images",https://wuthappened.vercel.app,200,"Build as portfolio-aware news app: import holdings by OAuth/CSV/JSON/manual/vendor export and explain relevant news, sentiment, and risks."
